age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
43,1,1,NA,14,NA,5,1,0,12,12,0
74,0,1,NA,10,NA,4,1,3,0,8,0
42,1,1,45400,16,40,1,2,2,12,16,1
63,0,1,54480,16,40,1,2,2,16,12,1
71,1,2,NA,18,NA,3,2,0,12,12,1
67,0,1,NA,16,NA,2,2,2,12,12,1
59,0,2,8512.5,13,35,3,2,6,NA,6,0
43,1,1,17025,12,89,5,3,0,NA,12,0
62,0,1,908,8,40,2,1,4,12,12,0
55,1,1,45400,12,40,1,2,2,6,20,0
59,1,1,54480,19,40,3,2,2,12,12,1
34,0,3,8512.5,14,20,4,1,3,NA,14,0
61,0,1,NA,13,NA,3,1,2,NA,12,0
44,1,2,45400,16,40,1,1,2,16,12,1
41,0,2,NA,12,NA,5,1,2,15,16,0
75,0,1,5107.5,12,19,2,1,4,12,12,0
55,0,1,30645,16,NA,1,3,0,14,13,1
30,0,1,NA,16,NA,1,2,2,16,16,1
40,0,1,30645,20,40,3,3,2,15,19,1
30,1,1,NA,18,40,5,4,0,16,16,1
34,0,1,17025,15,42,1,2,1,NA,17,0
29,0,3,NA,14,NA,5,1,0,12,12,0
40,0,1,45400,14,32,1,2,1,16,16,0
37,1,1,20430,12,50,5,3,0,18,18,0
56,0,1,8512.5,16,15,1,1,3,16,16,1
82,1,1,NA,8,NA,2,2,2,8,8,0
68,0,1,17025,12,33,3,2,3,12,12,0
42,0,2,NA,9,NA,5,1,5,0,10,0
40,0,1,NA,12,NA,3,1,3,12,12,0
20,1,1,6242.5,14,40,5,2,0,16,17,0
74,0,1,NA,12,NA,1,2,2,NA,12,0
89,1,1,NA,8,NA,1,1,7,19,12,0
60,0,1,NA,16,NA,1,2,2,12,12,1
56,0,1,54480,16,46,3,3,0,NA,16,1
55,0,1,NA,10,16,3,1,3,9,8,0
65,1,1,45400,18,40,1,2,5,12,12,1
71,0,1,NA,20,20,2,2,1,14,12,1
34,1,1,20430,20,45,5,3,0,16,18,1
45,1,1,20430,19,50,1,2,1,12,8,1
50,0,2,NA,12,NA,NA,2,NA,NA,NA,0
65,0,1,6242.5,12,30,3,3,2,12,12,0
52,1,1,17025,12,40,5,1,0,NA,10,0
62,0,1,NA,12,NA,2,2,1,12,12,0
60,1,3,NA,18,NA,1,2,0,20,16,1
62,0,1,30645,16,NA,3,2,2,NA,8,1
46,0,1,14755,12,25,2,1,3,11,6,0
40,1,1,37455,18,20,1,2,2,16,16,1
53,0,1,NA,18,NA,1,2,3,NA,14,1
75,1,1,NA,17,NA,3,2,1,19,15,1
67,0,1,NA,16,NA,3,2,2,NA,18,1
22,1,1,NA,14,30,5,2,0,16,12,0
42,0,1,12485,12,40,4,1,3,3,6,0
59,0,1,37455,18,55,3,4,2,18,17,1
